rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
569,2024,2023-10-10,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,6825982.1500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
570,2024,2024-06-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,6689492.0300,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
571,2025,2024-11-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,6629956.6900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
572,2023,2023-04-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,6618026.4500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
573,2024,2024-02-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,6596117.0100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
574,2016,2016-04-12,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PROPERTY RESERVE ARIZONA LLC,FEDERAL AID,6544534.8200,7.8,"peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
575,2024,2024-03-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,6542058.4400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
576,2024,2024-01-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,6522286.7200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
577,2021,2020-11-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN AMES JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,6516028.5400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
578,2024,2024-02-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,6392254.7700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
579,2024,2023-09-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,6312989.2100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
580,2024,2023-07-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,6278943.0300,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
581,2025,2025-06-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,FEDERAL AID,6086300.5900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
582,2024,2024-06-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,6053599.9200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
583,2024,2023-12-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,6051867.2700,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
584,2021,2020-08-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN AMES JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,6031060.8200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
585,2017,2016-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,CONNECT 202 PARTNERS,FEDERAL AID,6029718.1300,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,3,"Connect 202 Partners is the Fluor-led LLC (with Granite Construction, Ames Construction and Parsons Brinckerhoff) awarded ADOT's ~$1.66B Loop 202 South Mountain Freeway design-build-maintain contract - Arizona's largest highway project and first freeway P3, built 2016-2019 with a 30-year maintenance term."
586,2025,2025-06-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN SPECIALTIES INC,FEDERAL AID,5918916.5800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Specialties, Inc. is an established heavy-civil/highway construction firm (founded 1991, Woman-Owned Business Enterprise) with documented major ADOT design-build contracts, including a ~$410M I-10 corridor project (with Fisher Sand & Gravel/Stantec) and a $41.9M US-60/Bell Road interchange in Surprise, AZ."
587,2025,2025-02-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,5889257.6000,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
588,2025,2025-02-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,FEDERAL AID,5868928.2400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
589,2021,2020-09-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN AMES JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,5793740.3500,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway."
590,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,5745601.2700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
591,2025,2025-05-12,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,5731054.5900,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
592,2025,2025-06-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,5712709.8800,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
593,2021,2021-05-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CONSTRUCTION INC,FEDERAL AID,5701185.4200,7.8,"peer_outlier,no_contract_named,offcontract",screened_unreviewed,,
594,2025,2025-03-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,COFFMAN SPECIALTIES INC,FEDERAL AID,5644157.3400,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Coffman Specialties, Inc. is an established heavy-civil/highway construction firm (founded 1991, Woman-Owned Business Enterprise) with documented major ADOT design-build contracts, including a ~$410M I-10 corridor project (with Fisher Sand & Gravel/Stantec) and a $41.9M US-60/Bell Road interchange in Surprise, AZ."
595,2025,2024-08-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,5604050.3200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
596,2024,2023-07-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,5469571.6200,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
597,2025,2024-11-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FISHER SAND AND GRAVEL CO,FEDERAL AID,5438294.3100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting."
598,2025,2024-10-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,FEDERAL AID,5421773.6600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
599,2024,2024-01-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,GRANITE CONSTRUCTION CO,FEDERAL AID,5394889.2100,7.8,"peer_outlier,no_contract_named,offcontract",false_positive_marker,2,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected."
600,2024,2023-12-18,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,FEDERAL AID,5394854.0700,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
601,2025,2024-10-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CS A JOINT VENTURE,FEDERAL AID,5328648.0400,7.8,"peer_outlier,no_contract_named,offcontract",mixed,3,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work."
602,2025,2024-12-16,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,5223864.5100,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
603,2023,2022-09-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,REHABILITATE PAVEMENT ON ROAD PROJECTS,5217566.3600,7.8,"peer_outlier,no_contract_named,offcontract",explained_benign,2,
604,2018,2017-09-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FORESIGHT GROUP HOLDINGS I LLC,FEDERAL AID,4448060.4400,7.8,"short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
605,2018,2017-09-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,"THE NEWPORT GROUP 37\, LLC",FEDERAL AID,3103613.8600,7.8,"short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
606,2024,2024-06-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,ACME CONCRETE PAVING INC,FEDERAL AID,2956767.9700,7.8,"short_tenure_vendor,new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
607,2021,2020-09-22,DEPT OF VETERANS SERVICES,CAPITAL OUTLAY,THE WEITZ CO,ASVH FLAGSTAFF CONSTRUCTION,2867613.0800,7.8,"sole_source,no_contract_named,offcontract",explained_benign,2,"The Weitz Company was the construction-manager-at-risk (with architect SmithGroup) for the Arizona Department of Veterans' Services on the Flagstaff and Yuma State Veteran Homes — two 74,000 sq ft, 80-bed facilities; groundbreaking 2019, scheduled completion June 2021. This confirms the FY2021 draws as routine progress payments on a documented, publicly announced capital project."
